Indicator,type,Threat,Type,Description,Comments,Date,Source
e36e8d05c42c3084ffffd875300ce22f559e47109653887c8889d50c7721e854,sha256,phishing,,COVID-19,,16.03.2020,
8C809B4AC6D95CE85A0F04CD04B7A7EA,md5,,,COVID-19,,16.03.2020,
586FB4A6FFDFEB423F1F1782AAA9BB9F,md5,,,COVID-19,,16.03.2020,
8800EBD065B52468FA778B4527437F5A,md5,,,COVID-19,,16.03.2020,
379959D80D0BFC45AAB6437474D1F727,md5,,,COVID-19,,16.03.2020,
Coronavirus Updates,Email subject,,,COVID-19,,16.03.2020,
MyHealth.exe,Win32 EXE,,,COVID-19,,16.03.2020,
covid19disasterrelief.com,domain,,,COVID-19,,16.03.2020,
192.185.41.203,ipaddress,,,COVID-19,,16.03.2020,
08c7dfde13ade4b13350ae290616d7c2f4a87cbeac9a3886e90a175ee40fb641,sha256,Nefilim,Ransomware,,,16.03.2020,"https://www.virustotal.com/gui/file/08c7dfde13ade4b13350ae290616d7c2f4a87cbeac9a3886e90a175ee40fb641/details
 https://app.any.run/tasks/0fa5d1c2-305e-46d3-9150-a40e64db1bbe/"
949b69bf87515ad8945ce9a79f68f8b788c0ae39,sha1,Wacatac,Trojan,COVID-19,X-Force Malware Report,16.03.2020,https://exchange.xforce.ibmcloud.com/collection/COVID-19-Info-Stealer-Threat-Analysis-f1132f40cd0b6fd8d8ed3f0a8e46ddbf
2b35aa9c70ef66197abfb9bc409952897f9f70818633ab43da85b3825b256307,sha256,Wacatac,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
0b3e7faa3ad28853bb2b2ef188b310a67663a96544076cd71c32ac088f9af74d,sha256,Azorult,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
13c0165703482dd521e1c1185838a6a12ed5e980e7951a130444cf2feed1102e,sha256,Delf,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
fda64c0ac9be3d10c28035d12ac0f63d85bb0733e78fe634a51474c83d0a0df8,sha256,Delf,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
126569286f8a4caeeaba372c0bdba93a9b0639beaad9c250b8223f8ecc1e8040,sha256,Occamy,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
203c7e843936469ecf0f5dec989d690b0c770f803e46062ad0a9885a1105a2b8,sha256,Grp,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
104.24.103.192,ipaddress,,Malware,COVID-19,X-Force Malware Report,16.03.2020,
http://coronavirusstatus.space/,url,,Malware,COVID-19,X-Force Malware Report,16.03.2020,
http://erasmus-plius.tomasjs.com/wp-admin/KfesPCcG/,url,,,COVID-19,,,
http://easytogets.com/xfxvqq/UXbKAbm/,url,,,COVID-19,,,
http://drhuzaifa.com/wp-includes/2i48k7-evv28gw-205510/,url,,,COVID-19,,,
http://dewarejeki.info/wp-includes/up58jauc-pum2w-630352/,url,,,COVID-19,,,
http://dewakartu.info/wp-includes/BRVMFYvIR/,url,,,COVID-19,,,
http://109.236.109.159:8080/vnx8v,url,,,COVID-19,,,
http://85.96.49.152/6oU9ipBIjTSU1,url,,,COVID-19,,,
http://186.10.98.177/faHtH2y,url,,,COVID-19,,,
45.128.134.14,ipaddress,,,COVID-19,,,
insiderppe.cloudapp.net,url,,,COVID-19,,,
https://45.128.134.14/C821al/vc2Tmy.php,url,,,COVID-19,,,
5987a6e42c3412086b7c9067dc25f1aaa659b2b123581899e9df92cb7907a3ed,sha256,Zenpack,Trojan,COVID-19,X-Force Malware Report,16.03.2020,https://exchange.xforce.ibmcloud.com/collection/85a2bf81563c361c3fe16c65e4734d70
3299f07bc0711b3587fe8a1c6bf3ee6bcbc14cb775f64b28a61d72ebcb8968d3,sha256,Mbrlock,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
a08db3b44c713a96fe07e0bfc440ca9cf2e3d152a5d13a70d6102c15004c4240,sha256,Kryptik,Trojan,COVID-19,X-Force Malware Report,16.03.2020,
http://trynda.zyz/file1.exe,url,Kpot,Ransomware,COVID-19,X-Force Malware Report,16.03.2020,
http://trynda.zyz/file2.exe,url,Kpot,Ransomware,COVID-19,X-Force Malware Report,16.03.2020,
wisecleaner.best,url,Kpot,Ransomware,COVID-19,X-Force Malware Report,16.03.2020,
http://tbdtech.com.vn/modules/sanny.php,url,,,COVID-19,,16.03.2020,
http://team-galena.com/checks/woodmarine.php,url,,,COVID-19,,16.03.2020,
http://tedxggdsdcollege.in/xwzp/suziemulhall.php,url,,,COVID-19,,16.03.2020,
http://terdance.ru/wp-includes/weaverja2000.php,url,,,COVID-19,,16.03.2020,
http://teresaoefinger.com/u2l/yngwll57.php,url,,,COVID-19,,16.03.2020,
http://testtesttest.cloud/language/wschramm2001.php,url,,,COVID-19,,16.03.2020,
http://thanhxuanvietcom/ktzoq9aicz/williamwoo1668.php,url,,,COVID-19,,16.03.2020,
http://theazsmiths.com/name/rjanzikcom.php,url,,,COVID-19,,16.03.2020,
http://thechristianmind.org/.well-known/ykasan.php,url,,,COVID-19,,16.03.2020,
http://thehousejumpers.com/ffr/willhayn.php,url,,,COVID-19,,16.03.2020,
51eab875208923d82953fd3492b2efab3dc1d234c555a2db9dcd45e840a9040c,sha256,,,COVID-19,,17.03.2020,
ALL UPDATED INFORMATION FROM CDC ON COVID-19 IN YOUR AREA.7z,zipFile,,,COVID-19,,17.03.2020,
a3fa77c161046be8d2a32f94d79a703c7e2d2c3f5c0cd76795713806077dd2fc,sha256,,,COVID-19,,17.03.2020,
COVID-19 Circular.jar,Javascript File,,,COVID-19,,17.03.2020,
72200a020d6d1ab076e4b35bdee6c5eddd1038350c304587db2edeab2a7360f9,sha256,,,COVID-19,,17.03.2020,
https://corona-virus-map[.]net/data/mapdata.jar,url,,,COVID-19,,17.03.2020,
66b7a497ff759634f91c4a6ae7c0b6fd90cd0c61076e4abc8d2f9166f343805a,sha256,,,COVID-19,,17.03.2020,
https://corona-virus-map[.]net/map.jar,url,,,COVID-19,,17.03.2020,
0578160ca0061e8b9b0e61ecb6b057babdeff7580d5a58e0724e7bb4e7e51d93,sha256,,,COVID-19,,17.03.2020,
President discusses budget savings due to coronavirus with Finance Minister.rtf,RTF File,,,COVID-19,,17.03.2020,
1527f7b9bdea7752f72ffcd8b0a97e9f05092fed2cb9909a463e5775e12bd2d6,sha256,,backdoor,COVID-19,,17.03.2020,
ru[.]mst[.]dns-cloud[.]net,url,,backdoor,COVID-19,,17.03.2020,
5e31d16d6bf35ea117d6d2c4d42ea879,md5,,backdoor,COVID-19,,17.03.2020,
9e61b48f9e710f6bce4d3a38512a854a,md5,,backdoor,COVID-19,,17.03.2020,
45[.]76[.]218[.]232,ipaddress,,backdoor,COVID-19,,17.03.2020,
Коронавірусна інфекція COVID-19.doc,file,,,COVID-20,,17.03.2020,
3b701eac4e3a73aec109120c97102c17edf88a20d1883dd5eef6db60d52b8d92,sha256,,,COVID-21,,17.03.2020,